codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-11030371414	ANTIOQUIA	Sabaneta		Calle	Calle 71 Sur # 45A-43	45A-43	Origen: OpenStreetMap	6.1516137	-75.6168635
OSM-12185017433	ANTIOQUIA	Sabaneta		Carrera	Carrera 45#75b sur 114 # edificio santana	edificio santana	Origen: OpenStreetMap	6.1477073	-75.6190528
OSM-12619073496	ANTIOQUIA	Sabaneta		Carrera	Carrera 48A # 67	67	Origen: OpenStreetMap	6.1548798	-75.6163844
OSM-13591924645	ANTIOQUIA	Sabaneta		Carrera	Carrera 48 # 77B Sur-46	77B Sur-46	Origen: OpenStreetMap	6.1523734	-75.6228676
OSM-13762304057	ANTIOQUIA	Sabaneta		Calle	Calle 70 Sur # 45A-65	45A-65	Origen: OpenStreetMap	6.1522723	-75.6165595
OSM-13900306045	ANTIOQUIA	Sabaneta		Calle	Calle 76B Sur # 47C-50	47C-50	Origen: OpenStreetMap	6.1523004	-75.6229961
OSM-133915280	ANTIOQUIA	Sabaneta		Calle	Calle 61 Sur # 44 -61	44 -61	Origen: OpenStreetMap	6.1558367	-75.6108946
OSM-134654687	ANTIOQUIA	Sabaneta		Calle	Calle 60 Sur # 42 - 95	42 - 95	Origen: OpenStreetMap	6.1551504	-75.6071946
OSM-136096852	ANTIOQUIA	Sabaneta		Calle	Calle 80 Sur # 47F - 36	47F - 36	Origen: OpenStreetMap	6.1502962	-75.6278159
OSM-358896759	ANTIOQUIA	Sabaneta		Calle	Calle 64 Sur # 42B-14	42B-14	Origen: OpenStreetMap	6.1514674	-75.6104307
OSM-455880996	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 60 Sur - 64	60 Sur - 64	Origen: OpenStreetMap	6.1547321	-75.6075622
OSM-578270384	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 62 sur - 47	62 sur - 47	Origen: OpenStreetMap	6.1537511	-75.6101394
OSM-578283497	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 60sur-35	60sur-35	Origen: OpenStreetMap	6.1566863	-75.6092352
OSM-578283510	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # CRA 44 62 46	CRA 44 62 46	Origen: OpenStreetMap	6.1542266	-75.6112236
OSM-683277891	ANTIOQUIA	Sabaneta		Calle	Calle 78E Sur # 47 c 80	47 c 80	Origen: OpenStreetMap	6.1499839	-75.6247588
OSM-688759821	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 53C Sur - 40	53C Sur - 40	Origen: OpenStreetMap	6.1576102	-75.6043188
OSM-690498638	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 63 Sur 120	63 Sur 120	Origen: OpenStreetMap	6.1521691	-75.6110443
OSM-697670010	ANTIOQUIA	Sabaneta		carrera	carrera 43B # 55	55	Origen: OpenStreetMap	6.1575756	-75.6062534
OSM-697670011	ANTIOQUIA	Sabaneta		Calle	Calle 53 Sur # 43A  -49	43A  -49	Origen: OpenStreetMap	6.1574778	-75.6058955
OSM-698980323	ANTIOQUIA	Sabaneta		Calle	Calle 52 Sur - 110 # Carrera 47	Carrera 47	Origen: OpenStreetMap	6.1593903	-75.6057816
OSM-771717590	ANTIOQUIA	Sabaneta		Calle	Calle 52 Sur # #43A  -57	#43A  -57	Origen: OpenStreetMap	6.1587398	-75.6044411
OSM-775431578	ANTIOQUIA	Sabaneta		Calle	Calle 57 Sur # 43A - 235	43A - 235	Origen: OpenStreetMap	6.158008	-75.608333
OSM-777348919	ANTIOQUIA	Sabaneta		Calle	Calle 63 Sur # 41-05	41-05	Origen: OpenStreetMap	6.1516879	-75.6096896
OSM-777348920	ANTIOQUIA	Sabaneta		Calle	Calle 55 Sur # 54 Sur - 65	54 Sur - 65	Origen: OpenStreetMap	6.1574592	-75.6054611
OSM-777395556	ANTIOQUIA	Sabaneta		Calle	Calle 77 Sur # 46-180	46-180	Origen: OpenStreetMap	6.1490295	-75.6211328
OSM-778445210	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 60B sur 54	60B sur 54	Origen: OpenStreetMap	6.1558783	-75.609057
OSM-778445221	ANTIOQUIA	Sabaneta		Calle	Calle 61 Sur # 44 - 67	44 - 67	Origen: OpenStreetMap	6.1559283	-75.6109609
OSM-778445236	ANTIOQUIA	Sabaneta		Calle	Calle 53 Sur # 43A - 135	43A - 135	Origen: OpenStreetMap	6.15867	-75.605365
OSM-778445237	ANTIOQUIA	Sabaneta		Calle	Calle 53 Sur # 43A - 145	43A - 145	Origen: OpenStreetMap	6.1587236	-75.6054151
OSM-778445238	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 53 sur 20	53 sur 20	Origen: OpenStreetMap	6.1587705	-75.6054632
OSM-778445239	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 53 Sur - 40	53 Sur - 40	Origen: OpenStreetMap	6.1586105	-75.6055156
OSM-778445240	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 53 Sur 60	53 Sur 60	Origen: OpenStreetMap	6.1584996	-75.6056189
OSM-778445241	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 53 sur - 72	53 sur - 72	Origen: OpenStreetMap	6.1584197	-75.6057011
OSM-778445242	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 53 sur - 80	53 sur - 80	Origen: OpenStreetMap	6.1583757	-75.6057476
OSM-778445243	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 53 Sur - 90	53 Sur - 90	Origen: OpenStreetMap	6.1583131	-75.6057928
OSM-778445244	ANTIOQUIA	Sabaneta		Carrera	Carrera 44 # 53 sur - 100	53 sur - 100	Origen: OpenStreetMap	6.1582672	-75.6058396
OSM-778445246	ANTIOQUIA	Sabaneta		Calle	Calle 55 Sur # 43 A - 30	43 A - 30	Origen: OpenStreetMap	6.1575846	-75.6055364
OSM-778445247	ANTIOQUIA	Sabaneta		Calle	Calle 55 Sur # 43A - 42	43A - 42	Origen: OpenStreetMap	6.1576249	-75.6055954
OSM-780586274	ANTIOQUIA	Sabaneta		Calle	Calle 63 Sur # 43A - 11	43A - 11	Origen: OpenStreetMap	6.153384	-75.6104872
OSM-931128985	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 55 Sur 41 Int 101	55 Sur 41 Int 101	Origen: OpenStreetMap	6.1570221	-75.6059915
OSM-931128990	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 56 Sur 09	56 Sur 09	Origen: OpenStreetMap	6.1568948	-75.6060956
OSM-931128992	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 53 sur -07	53 sur -07	Origen: OpenStreetMap	6.1569631	-75.6060678
OSM-1014460093	ANTIOQUIA	Sabaneta		Carrera	Carrera 47C # 76D-	76D-	Origen: OpenStreetMap	6.1510269	-75.6232443
OSM-1082214826	ANTIOQUIA	Sabaneta		Calle	Calle 77 Sur # 46B 120	46B 120	Origen: OpenStreetMap	6.1497361	-75.6222531
OSM-1189206738	ANTIOQUIA	Sabaneta		Calle	Calle 77 Sur # 46-180	46-180	Origen: OpenStreetMap	6.1489128	-75.6212668
OSM-1189206739	ANTIOQUIA	Sabaneta		Calle	Calle 77 Sur # 46-180	46-180	Origen: OpenStreetMap	6.1492685	-75.6209109
OSM-1492789466	ANTIOQUIA	Sabaneta		Carrera	Carrera 41 # 57 Sur 60	57 Sur 60	Origen: OpenStreetMap	6.1543538	-75.6046277
OSM-1513984197	ANTIOQUIA	Sabaneta		Carrera	Carrera 38 # 75B Sur 257	75B Sur 257	Origen: OpenStreetMap	6.1435016	-75.6177618
OSM-19103245	ANTIOQUIA	Sabaneta		Cra	Cra 43A # # 452 Sur -99	# 452 Sur -99	Origen: OpenStreetMap	6.1580818	-75.6050872
