codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-13743742455	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-18	129 Sur-18	Origen: OpenStreetMap	6.0921278	-75.6343529
OSM-13743742456	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 47-17	47-17	Origen: OpenStreetMap	6.0922777	-75.6340988
OSM-13744240715	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-98	131 Sur-98	Origen: OpenStreetMap	6.0898481	-75.6343823
OSM-13744240721	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-78	131 Sur-78	Origen: OpenStreetMap	6.0900161	-75.6343888
OSM-13747297076	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132A Sur-16	132A Sur-16	Origen: OpenStreetMap	6.0892625	-75.6343445
OSM-13747436702	ANTIOQUIA	Caldas		Calle	Calle 133 Sur # 47-8	47-8	Origen: OpenStreetMap	6.0890347	-75.6339862
OSM-13747436726	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132A Sur-36	132A Sur-36	Origen: OpenStreetMap	6.0890791	-75.6343458
OSM-13751660000	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-60	130 Sur-60	Origen: OpenStreetMap	6.09101	-75.6343869
OSM-13751693104	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-59	46-59	Origen: OpenStreetMap	6.0930563	-75.6337286
OSM-13751693105	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-69	46-69	Origen: OpenStreetMap	6.0930476	-75.6338626
OSM-13751693106	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-73	46-73	Origen: OpenStreetMap	6.0930412	-75.6339685
OSM-13751693107	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-113	46-113	Origen: OpenStreetMap	6.0930278	-75.6342658
OSM-13751693108	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 47-32	47-32	Origen: OpenStreetMap	6.0923753	-75.6342225
OSM-13751693109	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-10	129 Sur-10	Origen: OpenStreetMap	6.0921845	-75.6343535
OSM-13751693110	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-20	129 Sur-20	Origen: OpenStreetMap	6.0920777	-75.6343544
OSM-13751733715	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-36	133 Sur-36	Origen: OpenStreetMap	6.0884761	-75.6342933
OSM-13751733716	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-20	133 Sur-20	Origen: OpenStreetMap	6.0887874	-75.6343143
OSM-13751733717	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-42	133 Sur-42	Origen: OpenStreetMap	6.0885913	-75.6342991
OSM-13754061440	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 128 Sur-10	128 Sur-10	Origen: OpenStreetMap	6.0929713	-75.6343776
OSM-13754073286	ANTIOQUIA	Caldas		Calle	Calle 133 Sur # 46-37	46-37	Origen: OpenStreetMap	6.0889181	-75.6338979
OSM-13754095106	ANTIOQUIA	Caldas		Calle	Calle 132A Sur # 47-20	47-20	Origen: OpenStreetMap	6.0894486	-75.6342022
OSM-13754095107	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-111	46-111	Origen: OpenStreetMap	6.0930287	-75.6342161
OSM-13754095108	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-148	131 Sur-148	Origen: OpenStreetMap	6.0894438	-75.6343535
OSM-13754095109	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-110	131 Sur-110	Origen: OpenStreetMap	6.0897144	-75.6343642
OSM-13754095110	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-78	130 Sur-78	Origen: OpenStreetMap	6.0908286	-75.6343829
OSM-13754095111	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-70	130 Sur-70	Origen: OpenStreetMap	6.0909009	-75.634384
OSM-13754095112	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-74	130 Sur-74	Origen: OpenStreetMap	6.0908652	-75.6343835
OSM-13754157919	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-58	133 Sur-58	Origen: OpenStreetMap	6.0884391	-75.6342874
OSM-13754157920	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-86	133 Sur-86	Origen: OpenStreetMap	6.0882256	-75.6342687
OSM-13754157921	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-8	46-8	Origen: OpenStreetMap	6.0882672	-75.633514
OSM-13754157922	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-16	46-16	Origen: OpenStreetMap	6.0882615	-75.6335809
OSM-13754157923	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-46	46-46	Origen: OpenStreetMap	6.088261	-75.6336468
OSM-13754157924	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-68	46-68	Origen: OpenStreetMap	6.0882517	-75.6337546
OSM-13754157925	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-72	46-72	Origen: OpenStreetMap	6.0882482	-75.6338205
OSM-13754157926	ANTIOQUIA	Caldas		Carrera	Carrera 47 # 133 Sur-78	133 Sur-78	Origen: OpenStreetMap	6.0882655	-75.6338896
OSM-13757840149	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 135A Sur-81	135A Sur-81	Origen: OpenStreetMap	6.0863219	-75.6351504
OSM-13757840150	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-32	49-32	Origen: OpenStreetMap	6.0862449	-75.6353214
OSM-13757840151	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-58	49-58	Origen: OpenStreetMap	6.0862399	-75.6355812
OSM-13757840152	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-62	49-62	Origen: OpenStreetMap	6.0862384	-75.6356202
OSM-13757840153	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-64	49-64	Origen: OpenStreetMap	6.0862379	-75.6356562
OSM-13757840156	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 135A Sur-44	135A Sur-44	Origen: OpenStreetMap	6.0864263	-75.6356942
OSM-13760161922	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-9	132 Sur-9	Origen: OpenStreetMap	6.0894772	-75.634474
OSM-13760161923	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-19	132 Sur-19	Origen: OpenStreetMap	6.0894105	-75.6344692
OSM-13760161924	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-37	132 Sur-37	Origen: OpenStreetMap	6.0892559	-75.6344629
OSM-13760161925	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-39	132 Sur-39	Origen: OpenStreetMap	6.0892351	-75.6344619
OSM-13760161926	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-55	132 Sur-55	Origen: OpenStreetMap	6.0891017	-75.6344595
OSM-13760161928	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-42	131 Sur-42	Origen: OpenStreetMap	6.0902738	-75.634404
OSM-13760161929	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-65	133 Sur-65	Origen: OpenStreetMap	6.0883467	-75.634404
OSM-13760161930	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-14	133 Sur-14	Origen: OpenStreetMap	6.0888267	-75.6343185
OSM-13760161931	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-50	133 Sur-50	Origen: OpenStreetMap	6.0885207	-75.6342976
OSM-13761199811	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-9	129 Sur-9	Origen: OpenStreetMap	6.0922207	-75.6344876
OSM-13761199812	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-19	129 Sur-19	Origen: OpenStreetMap	6.0921255	-75.6344847
OSM-13761199813	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-23	129 Sur-23	Origen: OpenStreetMap	6.0920762	-75.6344823
OSM-13761199814	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-37	129 Sur-37	Origen: OpenStreetMap	6.0919834	-75.634474
OSM-13761199815	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-43	129 Sur-43	Origen: OpenStreetMap	6.0919191	-75.6344765
OSM-13761199817	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-81	129 Sur-81	Origen: OpenStreetMap	6.0915812	-75.6344959
OSM-13765550743	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 135 Sur-10	135 Sur-10	Origen: OpenStreetMap	6.0872508	-75.6341459
OSM-13765550744	ANTIOQUIA	Caldas		Calle	Calle 135A Sur # 47-38	47-38	Origen: OpenStreetMap	6.0871621	-75.6339501
OSM-13765557455	ANTIOQUIA	Caldas		Calle	Calle 135B Sur # 47-33	47-33	Origen: OpenStreetMap	6.0866846	-75.6338688
OSM-13765557456	ANTIOQUIA	Caldas		Carrera	Carrera 47 # 135B Sur-23	135B Sur-23	Origen: OpenStreetMap	6.0865664	-75.6335769
OSM-13768991991	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 135A Sur-53	135A Sur-53	Origen: OpenStreetMap	6.0862613	-75.6358699
OSM-13773128686	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 128 Sur-59	128 Sur-59	Origen: OpenStreetMap	6.0925536	-75.6344748
OSM-13773128687	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 48-2	48-2	Origen: OpenStreetMap	6.0923653	-75.6344763
OSM-13773128688	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-43	129 Sur-43	Origen: OpenStreetMap	6.0922457	-75.6343552
OSM-13793034688	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-104	46-104	Origen: OpenStreetMap	6.0931554	-75.6342095
OSM-13793034689	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-14	46-14	Origen: OpenStreetMap	6.093186	-75.6333047
OSM-13793034690	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-112	46-112	Origen: OpenStreetMap	6.0931561	-75.6342529
OSM-13797207972	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 48-12	48-12	Origen: OpenStreetMap	6.0931371	-75.6346072
OSM-13797304835	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 48A-6	48A-6	Origen: OpenStreetMap	6.093121	-75.6349663
OSM-13797304836	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 48A-2	48A-2	Origen: OpenStreetMap	6.0931214	-75.6349229
OSM-13797304852	ANTIOQUIA	Caldas		Calle	Calle 127 Sur # 48A-23	48A-23	Origen: OpenStreetMap	6.0938043	-75.6351295
OSM-13797642895	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-4	49-4	Origen: OpenStreetMap	6.093094	-75.6353828
OSM-13797642896	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-54	49-54	Origen: OpenStreetMap	6.093073	-75.6358532
OSM-13797642897	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-60	49-60	Origen: OpenStreetMap	6.0930692	-75.635946
OSM-13797642898	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-60	49-60	Origen: OpenStreetMap	6.0930672	-75.6359976
OSM-13797642899	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-72	49-72	Origen: OpenStreetMap	6.0930656	-75.6360515
OSM-13797642900	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-66	127 Sur-66	Origen: OpenStreetMap	6.0931802	-75.6360707
OSM-13797687153	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-27	127 Sur-27	Origen: OpenStreetMap	6.0935457	-75.6362381
OSM-13797687154	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-23	127 Sur-23	Origen: OpenStreetMap	6.093594	-75.6362453
OSM-13797687155	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-9	127 Sur-9	Origen: OpenStreetMap	6.0936768	-75.6362466
OSM-13797687156	ANTIOQUIA	Caldas		Carrera	Carrera 51 # 127 Sur-62	127 Sur-62	Origen: OpenStreetMap	6.0931966	-75.6368952
OSM-13797687158	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 50-28	50-28	Origen: OpenStreetMap	6.0930478	-75.6364849
OSM-13797687161	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127 Sur-59	127 Sur-59	Origen: OpenStreetMap	6.093283	-75.6362938
OSM-13797687162	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 127-53	127-53	Origen: OpenStreetMap	6.0931784	-75.6362167
OSM-431969846	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 129 Sur-50	129 Sur-50	Origen: OpenStreetMap	6.0917673	-75.6363807
OSM-431969849	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 129 Sur-70	129 Sur-70	Origen: OpenStreetMap	6.0916236	-75.6349613
OSM-602259794	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 128 Sur-44	128 Sur-44	Origen: OpenStreetMap	6.0924671	-75.6351619
OSM-602260573	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 49-24	49-24	Origen: OpenStreetMap	6.0923728	-75.6356152
OSM-602260574	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 49-24	49-24	Origen: OpenStreetMap	6.0925006	-75.6355044
OSM-602270255	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 131 Sur-23	131 Sur-23	Origen: OpenStreetMap	6.0902402	-75.6355924
OSM-1087016772	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 143 Sur-273	143 Sur-273	Origen: OpenStreetMap	6.0774347	-75.6319049
OSM-1292584022	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 135 Sur-41	135 Sur-41	Origen: OpenStreetMap	6.0868694	-75.6345355
OSM-1305224872	ANTIOQUIA	Caldas		Carrera	Carrera 45B # 132B Sur-112	132B Sur-112	Origen: OpenStreetMap	6.0886485	-75.6320821
OSM-1305522152	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 145 Sur-20	145 Sur-20	Origen: OpenStreetMap	6.0798637	-75.635013
OSM-1305689466	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-17	129 Sur-17	Origen: OpenStreetMap	6.0921619	-75.6345302
OSM-1305942233	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 48-70	48-70	Origen: OpenStreetMap	6.0924788	-75.6348962
OSM-1306137627	ANTIOQUIA	Caldas		Calle	Calle 127D Sur # 54-51	54-51	Origen: OpenStreetMap	6.0926847	-75.6405772
OSM-1306209236	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 59-12	59-12	Origen: OpenStreetMap	6.0916475	-75.643655
OSM-1306539661	ANTIOQUIA	Caldas		Carrera	Carrera 47 # 136 Sur-19	136 Sur-19	Origen: OpenStreetMap	6.0860684	-75.6338973
OSM-1307894234	ANTIOQUIA	Caldas		Calle	Calle 142A Sur # 54-6	54-6	Origen: OpenStreetMap	6.0799036	-75.6382597
OSM-1307898440	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 139 Sur-31	139 Sur-31	Origen: OpenStreetMap	6.0833863	-75.6345324
OSM-1307908326	ANTIOQUIA	Caldas		Carrera	Carrera 47A # 138B Sur-40	138B Sur-40	Origen: OpenStreetMap	6.0848793	-75.6329348
OSM-1307938082	ANTIOQUIA	Caldas		Calle	Calle 107 Sur # 52-79	52-79	Origen: OpenStreetMap	6.1109434	-75.6395952
OSM-1307942368	ANTIOQUIA	Caldas		Calle	Calle 127B Sur # 40-278	40-278	Origen: OpenStreetMap	6.0942628	-75.6285028
OSM-1307944831	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 56-10	56-10	Origen: OpenStreetMap	6.0909934	-75.6412428
OSM-1307953433	ANTIOQUIA	Caldas		Calle	Calle 132 Sur # 44-93	44-93	Origen: OpenStreetMap	6.08895	-75.6302142
OSM-1308086921	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 40-110	40-110	Origen: OpenStreetMap	6.0940973	-75.6273198
OSM-1308391171	ANTIOQUIA	Caldas		Carrera	Carrera 51 # 118 Sur-57	118 Sur-57	Origen: OpenStreetMap	6.0996761	-75.6385384
OSM-1308391172	ANTIOQUIA	Caldas		Calle	Calle 122 Sur # 54-120	54-120	Origen: OpenStreetMap	6.098338	-75.6382139
OSM-1310797236	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-25	132 Sur-25	Origen: OpenStreetMap	6.089323	-75.6345343
OSM-1380967244	ANTIOQUIA	Caldas		Carrera	Carrera 54 # 153S - 89	153S - 89	Origen: OpenStreetMap	6.0746072	-75.6377078
OSM-1382043862	ANTIOQUIA	Caldas		Carrera	Carrera 54 # 153S - 89	153S - 89	Origen: OpenStreetMap	6.075263	-75.6371524
OSM-1382122388	ANTIOQUIA	Caldas		Carrera	Carrera 54 # 153S - 89	153S - 89	Origen: OpenStreetMap	6.0748721	-75.6370954
OSM-1382122391	ANTIOQUIA	Caldas		Carrera	Carrera 54 # 153S - 89	153S - 89	Origen: OpenStreetMap	6.0745493	-75.6377363
OSM-1382122393	ANTIOQUIA	Caldas		Carrera	Carrera 54 # 153S - 89	153S - 89	Origen: OpenStreetMap	6.0738921	-75.6379514
OSM-1382122394	ANTIOQUIA	Caldas		Carrera	Carrera 54 # 153S - 89	153S - 89	Origen: OpenStreetMap	6.0740531	-75.6384044
OSM-1382122395	ANTIOQUIA	Caldas		Carrera	Carrera 54 # 153S - 89	153S - 89	Origen: OpenStreetMap	6.0745351	-75.638243
OSM-1495985637	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 125 Sur-201	125 Sur-201	Origen: OpenStreetMap	6.0946315	-75.6318701
OSM-1496203006	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 123 Sur-55	123 Sur-55	Origen: OpenStreetMap	6.0963609	-75.6366826
OSM-1496208870	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 122 Sur-75	122 Sur-75	Origen: OpenStreetMap	6.0970292	-75.6371033
OSM-1496213323	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 122 Sur-37	122 Sur-37	Origen: OpenStreetMap	6.0974821	-75.6372403
OSM-1496365593	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 134 Sur-605	134 Sur-605	Origen: OpenStreetMap	6.08209	-75.6309984
OSM-1496827452	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 125 Sur-180	125 Sur-180	Origen: OpenStreetMap	6.0956008	-75.6308008
OSM-1498693382	ANTIOQUIA	Caldas		Calle	Calle 132 Sur # 44-190	44-190	Origen: OpenStreetMap	6.0902602	-75.6295248
OSM-1501191093	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 46-10	46-10	Origen: OpenStreetMap	6.0926651	-75.6338296
OSM-1501191096	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 47-38	47-38	Origen: OpenStreetMap	6.0925136	-75.6342635
OSM-1501214794	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-14	129 Sur-14	Origen: OpenStreetMap	6.0921489	-75.6343059
OSM-1501268585	ANTIOQUIA	Caldas		Calle	Calle 131A Sur # 46A-14	46A-14	Origen: OpenStreetMap	6.0899048	-75.6337925
OSM-1501268597	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-96	131 Sur-96	Origen: OpenStreetMap	6.0898716	-75.634338
OSM-1501268598	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-84	131 Sur-84	Origen: OpenStreetMap	6.0899489	-75.6343406
OSM-1501268599	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-74	131 Sur-74	Origen: OpenStreetMap	6.090037	-75.6342863
OSM-1501634887	ANTIOQUIA	Caldas		Calle	Calle 131A Sur # 46-35	46-35	Origen: OpenStreetMap	6.0897192	-75.6337322
OSM-1501640020	ANTIOQUIA	Caldas		Calle	Calle 133 Sur # 47-52	47-52	Origen: OpenStreetMap	6.0890894	-75.6343131
OSM-1502375817	ANTIOQUIA	Caldas		Carrera	Carrera 47 # 133 Sur-41	133 Sur-41	Origen: OpenStreetMap	6.0885288	-75.6341187
OSM-1504280971	ANTIOQUIA	Caldas		Calle	Calle 135A Sur # 47-18	47-18	Origen: OpenStreetMap	6.0872461	-75.6337423
OSM-1504283183	ANTIOQUIA	Caldas		Calle	Calle 135A Sur # 47-35	47-35	Origen: OpenStreetMap	6.086988	-75.6339099
OSM-1504283188	ANTIOQUIA	Caldas		Calle	Calle 135B Sur # 47-48	47-48	Origen: OpenStreetMap	6.086867	-75.6339943
OSM-1504285883	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 47-42	47-42	Origen: OpenStreetMap	6.0864797	-75.6339754
OSM-1504779906	ANTIOQUIA	Caldas		Calle	Calle 135 Sur # 50-18	50-18	Origen: OpenStreetMap	6.0873396	-75.6360456
OSM-1508726498	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-108	46-108	Origen: OpenStreetMap	6.0932584	-75.6341985
