via,placa,numero_placa,latitud,longitud
CR 32A,109-38 (0103),,6.29777017,-75.54346722
CR 32A,109-38 (0107),,6.29777447,-75.54338748
CL 62,119-36,,6.2778071,-75.62515994
CL 38 SUR,80-52 (0107),,6.18725011,-75.65702016
CL 38 SUR,82-10 (9908),,6.18705235,-75.65817748
CL 38 SUR,82-10 (9803),,6.18710187,-75.65817738
CL 62,119-40,,6.27781457,-75.62518529
CL 48D SUR,57-01 LOTE,,6.1775161,-75.63976177
CR 55D,53A SUR-01 LOTE,,6.1758583,-75.63818212
CL 39 SUR,84B-24,,6.18669513,-75.66104725
CR 63B,42B SUR-16 LOTE,,6.18230309,-75.64421985
