via,placa,numero_placa,latitud,longitud
CL 99A,25C-08,,6.28768776,-75.54050374
CL 99A,25C-10,,6.28767519,-75.54053423
CR 25C,99A-17,,6.28778004,-75.54037209
CR 26C,99A-36,,6.2878158,-75.54090765
CR 26C,99A-16,,6.28772559,-75.5409118
CL 99A,25C-40,,6.28762487,-75.54068252
CR 30C,100B-34,,6.28916468,-75.54233223
CR 30C,100B-48,,6.28926045,-75.54231071
CR 30B,100B-44,,6.28925462,-75.54203896
CR 30B,100B-36,,6.28921607,-75.54205055
CR 30B,100B-16,,6.289129,-75.5420627
CR 73A,21-08,,6.22477672,-75.59497895
CR 73A,21-55,,6.22515672,-75.59496933
CR 26C,99A-12 (0105),,6.28771911,-75.54081542
CL 97A,34-52,,6.28779104,-75.54472343
CL 97A,34-48,,6.28779386,-75.54468509
CL 98,34-43,,6.28787338,-75.54472146
CQ 2,73-82,,6.24391312,-75.59222187
CQ 3,73-91,,6.24429043,-75.59256416
CQ 3,73-101,,6.24419305,-75.59262905
CQ 2,73-74,,6.24400571,-75.59216038
CQ 3,73-85,,6.24436653,-75.5925075
CQ 3,73-77,,6.24441868,-75.59246679
CL 49A,99EE-16,,6.26775351,-75.61392709
CQ 2,73-60,,6.24409162,-75.59209398
CQ 2,73-50,,6.24421683,-75.59199253
CQ 2,73-54,,6.24415116,-75.59204575
CL 44A,108-97,,6.25788637,-75.62288171
CR 46,108A-38,,6.29857034,-75.54976998
CR 46,108A-40,,6.29862295,-75.54974029
CL 100,37-35 LOTE,,6.28974853,-75.54646501
CR 37,99C-07 LOTE,,6.28956323,-75.54628839
CR 107,15-48,,6.22205517,-75.6315117
CL 98,34-39,,6.28782738,-75.54467861
CL 98,34-45,,6.2879024,-75.54474218
CL 98,34-49,,6.28792037,-75.54475378
CL 98,34-53,,6.287937,-75.54476452
CL 100,37-23 LOTE,,6.28972866,-75.54640434
CR 37A,99C-02 LOTE,,6.28964186,-75.546522
CL 99C,37-24 LOTE,,6.289576,-75.54645584
CL 99C,37-16 LOTE,,6.28955287,-75.54638481
CL 39AD,115B-47,,6.25108227,-75.62759547
CL 39AD,115B-51,,6.25109513,-75.62765369
CL 39AD,115B-77,,6.25112516,-75.62788465
CL 39AC,115B-98,,6.25094542,-75.62799713
CL 39AD,115B-87,,6.25113693,-75.62796611
CL 39AC,115B-20,,6.25089768,-75.62750079
CL 39AD,115B-37,,6.2510869,-75.62754119
CR 45,108-101,,6.29866172,-75.54955461
CR 46,108A-50,,6.29873877,-75.54966265
CL 11,43D-50,,6.21245238,-75.57227006
CL 100B,25-51,,6.28840296,-75.53987256
CL 100B,25-33,,6.28830519,-75.53965918
CL 100B,25-23,,6.28843455,-75.53965521
CR 30CC,100B-52,,6.28925935,-75.54245787
CL 100BB,30C-11,,6.28935867,-75.54235127
CR 30C,100B-45,,6.28921582,-75.54234683
CL 100BB,30C-05,,6.28939467,-75.54230108
CL 18 SUR,41AA-149,,6.1853009,-75.57784266
CR 43A,18 SUR-84,,6.18496789,-75.57871878
CL 39BE,113B-48,,6.25167259,-75.62601353
CL 39BF,113B-64 (0101),,6.25177908,-75.62594353
CL 39BE,113B-46,,6.25158501,-75.62598125
CL 39BE,113B-64,,6.25175291,-75.62601735
CL 39BF,113B-79 (0111),,6.25170306,-75.62585132
CR 45,108-35,,6.29804119,-75.5496458
CR 45,108-95,,6.29861314,-75.5495632
CL 59C,18B-81 (0160),,6.25290695,-75.54044475
CL 59C,18B-81 (0161),,6.25293066,-75.54047446
CL 59C,18B-81 (0163),,6.25300493,-75.54049348
CL 59C,18B-81 (0170),,6.25290033,-75.54053362
CL 59C,18B-81 (0168),,6.25300139,-75.54061232
CR 38,70-40,,6.26514801,-75.54919242
CR 38,70-42,,6.26517099,-75.54919025
CR 38,70-62,,6.26530399,-75.54917812
CR 38,70-64,,6.26533594,-75.54917529
CL 71,37-11,,6.2656494,-75.54863152
CL 71,37-13,,6.26565178,-75.54865435
CR 37,70-71,,6.26537552,-75.54858791
CR 37,70-69,,6.26535468,-75.54859068
CR 38,70-76,,6.26541303,-75.54916843
CR 46,108-16,,6.29793043,-75.55011026
CL 39BE,113B-50,,6.25169195,-75.62601451
CR 46,108A-42,,6.29864405,-75.54972864
CR 46,108A-56,,6.29875968,-75.54965123
CL 81,87-42,,6.28768339,-75.58684514
CR 45,108-25,,6.29796316,-75.54977153
CR 46,14-09,,6.21498825,-75.57486776
CR 46,14-31,,6.21520759,-75.57484565
CR 46,14-13,,6.21510679,-75.57485581
CL 81,87-44,,6.28769406,-75.58685873
CR 107,15-53,,6.22210679,-75.63153516
CL 17,106D-55,,6.22220971,-75.63131535
CL 17,106D-49 (0105),,6.22215351,-75.63128482
CL 99AA,37-04,,6.28919387,-75.54640297
CR 37,99AA-03,,6.28920918,-75.54634498
CL 99AA,37-10,,6.28920506,-75.54644188
CR 46,108-10,,6.29791717,-75.55011963
CR 46,108A-22,,6.2984173,-75.54985657
CL 99B,37-27,,6.28933178,-75.54652237
CR 37,99AA-07,,6.2892422,-75.54635028
CL 99AA,37-16,,6.28922426,-75.54651674
CR 38C,99C-18,,6.28995687,-75.54740503
CR 37,99-07,,6.28896644,-75.54642382
CR 37,99-09,,6.28899444,-75.5464155
CR 37A,99-08,,6.28901169,-75.54658226
CR 37A,99-14,,6.28904163,-75.54657131
CR 37A,99-02,,6.28896991,-75.54660434
CL 99,37-14,,6.28891789,-75.54653063
CR 38B,99C-19,,6.28994431,-75.54728217
CL 99,37-06,,6.28890697,-75.5464889
CR 46,108-40,,6.29814063,-75.5500014
CR 46,108-26,,6.29803058,-75.55004566
CL 99C,38B-14,,6.28983546,-75.54744611
CR 46,108A-58,,6.29879971,-75.54962935
CR 45,108-23,,6.29795128,-75.54979396
CL 100,26C-05,,6.28849449,-75.54054302
CL 99C,38B-10,,6.28982066,-75.54736987
CR 30,100C-95,,6.29024086,-75.54164915
CR 30,100C-97,,6.29026307,-75.54164465
CR 30,100C-99,,6.29031026,-75.54163626
CR 30,100C-101,,6.2903262,-75.54163363
CR 31,100C-148,,6.29035673,-75.54197387
CR 31,100C-150,,6.29038451,-75.54196868
CL 107B,42B-47 LOTE,,6.29538096,-75.54828071
CL 107B,42B-41 LOTE,,6.29535912,-75.54824255
CL 107B,42B-23 LOTE,,6.29529619,-75.54810234
CL 107B,42B-19 LOTE,,6.29528822,-75.54805715
CL 107B,42B-13 LOTE,,6.29527465,-75.54798831
CR 30AA,100B-39,,6.28922863,-75.54191836
CR 26C,99B-21,,6.28841181,-75.5404897
CL 100,26C-15,,6.28850811,-75.54060063
CL 99B,26C-16,,6.28839346,-75.54069228
CL 99B,26C-12 (0101),,6.28834767,-75.54070611
CR 46,108A-02,,6.29823433,-75.54994753
CR 26C,99A-42 (0108),,6.28781353,-75.54081558
CL 99B,25C-15,,6.28793032,-75.54046274
CR 25C,99A-29,,6.28782201,-75.54035917
CR 26C,99A-42 (0112),,6.28790442,-75.54075995
CR 42B,95-34,,6.28651448,-75.54983787
CL 95A,40-65,,6.28653239,-75.54978445
CR 42B,95-32,,6.28647479,-75.54984276
CL 95A,40-63,,6.28652702,-75.54976257
CR 42B,95-26,,6.28643772,-75.54984732
CR 42B,95-24,,6.28641799,-75.54984974
CL 95,40-34,,6.2862039,-75.54962015
CL 95A,40-25,,6.28645295,-75.54945448
CL 95A,40-19,,6.28644561,-75.54942451
CL 95A,40-33,,6.28647471,-75.54954582
CR 50D,93-58,,6.28537231,-75.5602309
CL 58,92A-114 (0101),,6.27451297,-75.60395284
CL 58D,92A-33,,6.27491782,-75.60385584
CL 58D,92A-29,,6.27491683,-75.60381141
CR 92A,58AA-21 (0108),,6.27459716,-75.60386043
CL 34B,133-55,,6.25078338,-75.6395373
CL 65,45-95,,6.25937493,-75.55734699
CL 65,45-93,,6.2593626,-75.55732933
CR 91,35C-21,,6.24779719,-75.61357453
CL 106B,27B-39,,6.29374951,-75.54029019
CR 91B,35C-22,,6.24806456,-75.61381784
CR 91B,35C-24,,6.24807991,-75.61380079
CR 91,35C-39,,6.24788431,-75.6134777
CR 91B,35C-08,,6.24797728,-75.61391485
CR 91B,35C-04,,6.24793363,-75.61396336
CR 91B,35C-40,,6.24815649,-75.61371568
CL 35C,91-16,,6.24774175,-75.61382516
CR 20A,45D-48,,6.23593116,-75.54755373
CR 20A,45D-46,,6.23591276,-75.54755621
CR 20,45D-43,,6.2358535,-75.54740008
CR 20,45D-41,,6.23582876,-75.54740343
CL 108FB,28B-13,,6.29939464,-75.53853976
CL 106BB,22-119,,6.29329417,-75.53840707
CL 53A,35 ESTE-487 (0105),,6.23251917,-75.50145236
CL 76,45A-27,,6.26932758,-75.55556867
CR 45A,73-21,,6.26895154,-75.55539124
CL 93D,22C-42,,6.28392423,-75.53905916
CR 22D,93D-12,,6.28404567,-75.53894411
CR 45A,73-19,,6.2689307,-75.55539525
CL 53A,35 ESTE-487 (0103),,6.2324109,-75.50144889
CL 73,45A-06,,6.26882553,-75.55545485
CL 108E,28B-09,,6.29923516,-75.53910469
CR 22D,93D-10,,6.28403236,-75.53897927
CL 93D,22C-48,,6.28397367,-75.53906171
CL 98,24B-13,,6.28696819,-75.53910314
CL 34B,87A-75,,6.24327027,-75.61309458
CR 107,33A-71,,6.24481966,-75.6233945
CR 107,33A-71 (0107),,6.24485631,-75.62347513
CR 107,33A-71 (0109),,6.24485543,-75.62350196
CL 34B,128-309 (0128),,6.24992146,-75.63743999
CR 33A,44-26,,6.23889918,-75.55715775
CL 34B,128-49,,6.2501568,-75.63507678
CL 34B,128-119 (0121),,6.25040926,-75.63543374
CR 102,33B-34 (0101),,6.24386366,-75.62141469
CL 33B,98-38 (0318),,6.24373719,-75.62137522
CL 34B,128-119 (0125),,6.25037768,-75.6356099
CL 34B,128-315 LOTE,,6.25053728,-75.63743831
CR 34,102B-09,,6.2918531,-75.54429902
CL 34AD,128-36 (0108),,6.24959695,-75.63554352
CL 34,98-57,,6.24415977,-75.62124885
CL 45,33-25,,6.23911221,-75.5567115
CR 33,44-11,,6.23866366,-75.55672277
CR 33,44-09,,6.23862962,-75.55674085
CR 33,44-07,,6.23861608,-75.55674821
CR 33,44-05,,6.23860261,-75.55675553
CL 34B,128-309 (0125),,6.25006936,-75.6373364
CR 45,108-11,,6.29788441,-75.54988793
CR 45,108-15,,6.29788994,-75.54988162
CR 46,108A-60,,6.29880916,-75.54962419
CR 46,108A-62,,6.29881884,-75.5496189
CL 12,30-56,,6.21304516,-75.56041753
CR 30,11C-09,,6.21317125,-75.55982369
CR 29,10-99,,6.2096759,-75.55842122
CL 10A,28-86,,6.20971948,-75.55818076
CL 39AD,115B-39,,6.25108544,-75.62755892
CR 92A,58AA-21 (0104),,6.27449269,-75.60373815
CL 107B,43B-36,,6.29593936,-75.55018867
CL 39AD,115B-57,,6.25110388,-75.62772279
CL 107C,43B-23,,6.29615924,-75.54990171
CL 39AD,115B-94,,6.25115639,-75.62802738
CR 117B,39AC-06,,6.25109029,-75.62814111
CL 39AC,115B-86,,6.25093163,-75.62793228
CL 39AC,115B-48,,6.25083104,-75.62766974
CL 107C,43B-17,,6.2961473,-75.54984473
CR 43B,107B-27,,6.29601282,-75.54980468
CL 39AC,115B-18 (0104),,6.25096083,-75.62745177
CL 49B,16-04,,6.23507701,-75.54249582
CL 49B,16-08,,6.23507975,-75.54250809
CL 50,16-61,,6.23555608,-75.5427056
CL 50,16-65,,6.23556786,-75.54272857
CL 49B,16-22,,6.23513352,-75.54261841
CL 49B,16-44,,6.23523247,-75.54281143
CL 102B,34-12,,6.29172448,-75.54431682
CL 107B,43B-18,,6.29588103,-75.55008439
CL 49B,16-118,,6.23563953,-75.54332683
CL 50,16-125,,6.23582458,-75.54322939
CL 50,16-23,,6.2354046,-75.54241008
CL 49B,16-14,,6.23509807,-75.54254924
CL 49B,16-30,,6.2351637,-75.54267726
CR 16,49B-23,,6.23528419,-75.54228759
CL 19,103BB-12,,6.22415392,-75.62597863
CL 19,103BB-08,,6.22414771,-75.62596767
CR 103BB,19-29,,6.22430849,-75.62578551
CL 19A,103BB-15,,6.22439557,-75.62588433
CL 19A,103BB-49,,6.22451783,-75.62616302
CL 30,30-66,,6.22841284,-75.56063158
CL 34B,133-09 LOTE,,6.25104425,-75.63929357
CL 19,103BB-18,,6.22418731,-75.62602606
CL 30,30-50,,6.22842305,-75.56047176
CL 30,30-52,,6.22842267,-75.56048273
CR 133,34AD-169,,6.25068506,-75.63917616
CL 44E,7A-17,,6.22755198,-75.54077305
CL 44D,7A-10,,6.22733417,-75.54084086
CL 30,30-44,,6.22842165,-75.56041892
CL 30,30-10,,6.22840047,-75.56015275
CR 30,30-25,,6.22851576,-75.55999967
CR 43B,107B-13 (0107),,6.29594338,-75.54998742
CL 31,30-07,,6.22867899,-75.56002488
CL 19A,103BB-19,,6.22440271,-75.62589715
CL 19A,103BB-17,,6.22439858,-75.62588972
CL 30,30-16,,6.22840511,-75.56022444
CL 19A,103BB-29,,6.224461,-75.62599571
CL 19A,103BB-33,,6.224475,-75.62605123
CL 19,103BB-28,,6.22423533,-75.62611642
CL 19,103BB-30,,6.22424215,-75.62613047
CL 50,16-15,,6.2353504,-75.54232534
CL 50,16-135,,6.23586323,-75.54330479
CL 49B,16-124,,6.23573484,-75.54337015
CL 50,16-119,,6.23579578,-75.54317321
CR 30D,100B-23,,6.28910524,-75.54264034
CL 50,16-117,,6.23577855,-75.5431396
CL 107C,43B-19,,6.29615622,-75.54988428
CL 50,16-95,,6.23568806,-75.54296308
CL 49B,16-84,,6.23539998,-75.54313079
CL 49B,16-92,,6.23544032,-75.54318622
CL 49B,16-102,,6.23552539,-75.54325825
CR 30DD,100B-30,,6.28919178,-75.5427442
CR 30DD,100B-28,,6.28917303,-75.54274632
CL 49B,16-100,,6.23549732,-75.54323862
CL 49B,16-120,,6.23571139,-75.54335949
CL 50,16-97,,6.23570287,-75.54299196
CR 30D,100B-33,,6.28914849,-75.54263122
CL 50,16-47,,6.23550332,-75.54260266
CL 50,16-45,,6.2354936,-75.54258372
CR 120,15-21,,6.22166066,-75.63650436
CR 120,15-85,,6.22217543,-75.63609966
CR 120,15-87,,6.22218896,-75.6360693
CR 120,15-91 LOTE,,6.22220748,-75.63602773
CR 120,15-17,,6.22160713,-75.63652397
CL 48C,103A-77,,6.26153379,-75.6200906
CR 39A,107-22,,6.29440238,-75.54734098
CR 42B,107-30 (0160),,6.29481121,-75.54759275
CR 219,212-25 (0115),,6.37015764,-75.70951539
CL 212,218-211,,6.36960615,-75.70872681
CR 24,77-50,,6.26980959,-75.53903301
CR 24C,77-48,,6.26985331,-75.53901237
CR 25B,99B-14,,6.28805455,-75.53987632
CL 99B,25-10 (0105),,6.28800475,-75.53969236
CL 99B,25-22,,6.28790347,-75.53986711
CR 46,108-06,,6.29782607,-75.55016909
CL 30A,84A-16,,6.23179497,-75.60810447
CR 27,49A-118,,6.24098961,-75.5497386
CL 51,26A-21,,6.24099227,-75.54959028
CL 30,30-20,,6.22840724,-75.56024384
CL 51,26A-25,,6.24099779,-75.54960982
CL 51,26A-15,,6.24096864,-75.54951538
CL 30,31-36 (0114),,6.22857909,-75.56053388
CL 51,26A-17,,6.24097632,-75.54953784
CL 30,31-02,,6.22841582,-75.56068263
CR 85,30A-26,,6.23204903,-75.60834631
CL 30,30-30,,6.22841368,-75.56031173
CL 30A,84A-24,,6.23178971,-75.60816983
CL 50A,25-110,,6.24009077,-75.54908447
CR 85,30A-18,,6.23197574,-75.60834022
CR 80A,30A-11,,6.23189947,-75.60797239
CL 30A,84A-04,,6.23180124,-75.60802657
CR 27,49A-114,,6.24093878,-75.54976535
CR 27,49A-100,,6.2408622,-75.54980632
CR 27,49A-106,,6.24088188,-75.54979579
CL 30,30-28,,6.22841293,-75.56030221
CL 96,40-32 (0104),,6.28751872,-75.54934747
CL 96,40-26,,6.28731962,-75.54936596
CL 5,72-13,,6.21632675,-75.59575643
CL 5,72-25,,6.21630458,-75.59588423
CL 5,72-37,,6.2163304,-75.59605162
CL 5,72-49,,6.21638022,-75.59612536
CL 5,72-73,,6.21638923,-75.59627738
CL 5,72-85,,6.21632045,-75.59647391
CL 5,72-109,,6.21630271,-75.59691264
CL 5,72-121,,6.21635304,-75.59701309
DG 75A,4-46,,6.21629063,-75.597092
DG 75A,4-54,,6.21613348,-75.59701474
DG 75A,4-58,,6.2160136,-75.59699523
DG 75A,4-70,,6.21587754,-75.59695891
DG 75A,4-82,,6.21572877,-75.59690417
TV 3,72-90,,6.21588972,-75.59667965
CR 24B,98-19 (0103),,6.28723555,-75.53894999
CR 24B,98-23,,6.2872991,-75.53880097
CR 24B,99A-09,,6.28756184,-75.53876197
CL 99A,24B-100,,6.28750736,-75.53977098
CR 24B,98-11,,6.28711999,-75.53890421
CR 24B,98-07,,6.28710737,-75.53891238
CR 24B,98-17,,6.28717573,-75.5388643
CL 44E,7A-07,,6.22749872,-75.54069788
CL 44E,7A-05,,6.22749064,-75.54068649
CL 44E,7A-23,,6.22758418,-75.5408185
CL 44D,7A-26,,6.22741904,-75.54096064
CR 92D,57F-54,,6.27460948,-75.60509695
CL 44D,7A-24,,6.22739633,-75.54092858
CR 20A,45D-42,,6.2358507,-75.54756461
CR 20A,45D-44,,6.23586425,-75.5475627
CR 20A,45D-30,,6.23575768,-75.54757709
CR 20A,45D-36,,6.23582134,-75.54756852
CR 20A,45D-34,,6.23580656,-75.54757051
CR 20,45D-35,,6.23579935,-75.54740739
CR 20,45D-33,,6.23578089,-75.54740988
CR 20,45D-23,,6.23567716,-75.54742383
CR 92D,57F-52 (0105),,6.27462136,-75.60508384
CL 44D,7A-18,,6.22738575,-75.54091364
CL 100,38-01,,6.28985913,-75.54686751
CR 38,99C-11,,6.28982333,-75.5468619
CL 100,38-19,,6.2898835,-75.54703067
CL 100,38-13,,6.28988039,-75.54699118
CR 42B,95-12,,6.28636776,-75.54985604
CL 99C,38-12,,6.28973516,-75.54697498
CL 95,40-58,,6.28624339,-75.54982141
CR 42B,95-04,,6.28628466,-75.54986678
CL 95,40-40,,6.28622214,-75.54967535
CL 100,38-09,,6.28987377,-75.54695818
CL 95,40-42,,6.28622716,-75.54970194
CL 95,40-28,,6.28618975,-75.54954964
CL 100,38-03,,6.28986467,-75.54690045
CR 38A,99C-10,,6.28980591,-75.54706663
CL 99C,38-24,,6.28974479,-75.54706686
CL 99C,38-22,,6.28973885,-75.5470391
CL 99C,38-14,,6.28972569,-75.5469288
CL 108C,28C-20,,6.29890935,-75.54004961
CL 99C,38-04,,6.28972043,-75.54689962
CL 99B,38B-10 (0102) LOTE,,6.28974545,-75.54743116
CR 24F,97-42 (0136),,6.28689574,-75.53997344
CL 95A,40-11,,6.28643652,-75.54938746
CR 24B,98-19 (0105),,6.28724019,-75.53894659
CL 99AA,24B-41,,6.28766329,-75.53900399
CL 99AA,24B-51,,6.28763702,-75.5390785
CL 112B,67-169,,6.30845914,-75.56634993
CR 37B,107D-21 (0101),,6.29611323,-75.54669692
CR 24F,92D-26 (0102),,6.28364259,-75.54105767
CL 112B,67-77,,6.30812826,-75.56560206
CL 112B,67-81,,6.30813716,-75.56562218
CL 99AA,24B-65,,6.28765076,-75.53922954
CL 99A,24B-94,,6.2875038,-75.53966592
CL 112B,67-29,,6.3079564,-75.56521362
CL 112B,67-07,,6.30786872,-75.56501545
CL 112B,67-11,,6.30788954,-75.56506252
CR 67,112A-09,,6.30760503,-75.56505348
CR 67,112A-11,,6.30762706,-75.56504369
CR 28F,110B-40,,6.299856,-75.54124876
CR 28E,108B-125 (0124),,6.29996072,-75.5409402
CR 28E,108B-131,,6.29991054,-75.54079056
CL 99A,24B-44 (0105),,6.28750629,-75.53901376
CL 98,24B-24,,6.28736659,-75.539204
CL 56F,18C-41,,6.24674693,-75.54064813
CR 18C,18BC-21 (1125),,6.24670436,-75.54041806
CR 18C,18BC-21 (1110),,6.24684115,-75.54035468
CL 56F,18C-25,,6.24686357,-75.54056292
CR 18C,18C-02 (1105),,6.24693936,-75.54038133
CL 56F,18C-29,,6.24680267,-75.5405161
CL 56F,18C-05,,6.2469476,-75.54050548
CR 18C,18C-89 (1130),,6.24665637,-75.54043871
CR 18C,18BC-21 (0350),,6.24677679,-75.54037224
CL 56F,18C-31,,6.24682648,-75.54059039
CL 56F,18C-89 (0115),,6.24661095,-75.54051659
CR 24B,98-25,,6.28736061,-75.53878393
CL 99A,24B-48,,6.28744631,-75.53935627
CL 99A,24B-50,,6.28760861,-75.53938719
CR 43A,16A SUR-360,,6.18696351,-75.57754005
CR 111,34CC-32,,6.24772435,-75.62263668
CL 102,30-10 (0102) LOTE,,6.29272794,-75.54109989
CR 27CC,102C-53 (0108) LOTE,,6.292779,-75.54011472
CR 27CC,102C-57 (0104),,6.29285064,-75.54017326
CL 106B,27B-27,,6.29370396,-75.54018176
CL 106B,27B-29,,6.29373034,-75.54023564
CR 98,33A-11 (0123),,6.24236912,-75.62237306
CL 57,82A-37,,6.27163577,-75.59826839
CL 56,82A-86 (0147),,6.27142833,-75.59830952
CL 56,82A-86 (0139),,6.27143816,-75.59828338
CL 56,82A-86 (0137),,6.27144242,-75.59827032
CR 98,33A-11,,6.24233696,-75.62266608
CR 45A,101-20,,6.29169564,-75.55240594
CR 45A,101-24,,6.29170624,-75.55240236
CL 99AA,24B-45 LOTE,,6.28765722,-75.53902299
CL 99AA,24B-59,,6.28762057,-75.5391425
CL 102,45-45,,6.29201781,-75.55213278
CL 102,45-47,,6.29202049,-75.55214266
CL 99A,24B-120,,6.28752778,-75.53985023
CL 99A,24B-44 (0108),,6.28751367,-75.53927427
CL 102,45-35,,6.29199791,-75.55205926
CL 99A,24B-44 (0106),,6.28734289,-75.53911736
CL 98,24B-30,,6.28723728,-75.5393394
CL 59,16D-72,,6.25304636,-75.53920882
SR 59,16D-60,,6.2532957,-75.53917484
CL 81A,86-25,,6.28707556,-75.58548207
CL 24,77-46 (0104),,6.22711434,-75.59795004
CL 97,22B-35 (0121),,6.28653413,-75.53768821
CR 26C,100-29 (0102),,6.28869041,-75.54057862
CL 98,24B-04,,6.28706118,-75.53901147
CR 24B,98-05,,6.28707716,-75.53893192
CL 31,107A-62 LOTE,,6.23370983,-75.62623417
CR 43,107-10,,6.29491849,-75.5488973
CR 43AA,107B-26,,6.29597736,-75.54952809
CR 52,84-22,,6.2782438,-75.5637758
CR 107A,31-24,,6.23421778,-75.62587909
CR 107A,31-20,,6.23417135,-75.62585608
CR 107,31-83 (0165) LOTE,,6.23470464,-75.62665067
CR 107,31-83 (0164) LOTE,,6.2347119,-75.6267157
CL 31,107-20,,6.2340733,-75.62573746
CR 43B,107B-25,,6.29599075,-75.54982049
CR 107,31-83 (0168),,6.23485833,-75.6265672
CR 107,31-83 (0167),,6.23474606,-75.62652961
CL 31,107A-80,,6.23369623,-75.62640318
CR 107,31-17,,6.23430756,-75.62568781
CL 85A,32A-06,,6.27627754,-75.54531226
CR 30AA,100B-06,,6.28908043,-75.54192977
CR 30A,100B-09,,6.28906274,-75.54181551
CL 100B,30A-06,,6.28903286,-75.54185273
CR 27B,102C-105 (0110),,6.29344695,-75.54015559
CR 27CC,102C-72,,6.2927903,-75.54001775
CL 108,43-09,,6.29691669,-75.54866629
CL 107B,43B-26,,6.29589499,-75.55011942
CR 107,31-83 (0191),,6.2349381,-75.62604743
CL 31,107-14,,6.23411804,-75.62569325
CR 107,31-07,,6.23419995,-75.62563655
CR 107,31-83 (0187),,6.23499725,-75.62608074
CL 95A,40-39,,6.28648688,-75.54959415
CR 42D,108A-04,,6.29779879,-75.54773316
CR 42D,108A-08,,6.29792544,-75.54772622
CR 42D,108A-68,,6.29822032,-75.54767647
CR 42D,108A-14,,6.29788195,-75.54772275
CL 95A,40-37,,6.28648347,-75.5495806
CL 95,40-20,,6.28617967,-75.54949814
CL 95A,40-47,,6.2864993,-75.54964481
CL 95A,40-49,,6.28650371,-75.54966296
CR 42B,95-08,,6.28634096,-75.54985943
CR 42B,95-06,,6.2863183,-75.5498623
CR 24B,98-19 (0101),,6.28721237,-75.5389214
CL 31,107-04,,6.23415094,-75.62565915
CL 99B,38B-02,,6.28965697,-75.54737757
CL 99B,38B-04,,6.28966758,-75.5474172
CL 77E,86-16,,6.28413503,-75.58918041
CL 98,24B-12 (0104),,6.2871654,-75.53907851
CR 99AA,24B-69 LOTE,,6.28766534,-75.53927433
CR 24B,99A-11 (0102),,6.28745425,-75.53885401
CL 107B,43B-30,,6.29593402,-75.5501745
CL 70C,95-21,,6.287657,-75.59971852
CL 63,92B-77,,6.27879404,-75.60507219
CL 63,92B-75,,6.27873437,-75.60494069
CL 63,92B-71,,6.27869176,-75.60487282
CL 9 SUR,32-52,,6.19477718,-75.57211114
CR 38,7A SUR-40,,6.19508989,-75.57179862
CL 9 SUR,37A-48 LOTE,,6.19398089,-75.5720336
CL 104CC,78B-36,,6.30546033,-75.57652601
CL 104CC,78B-34,,6.30546406,-75.57649958
CR 65,45A-90,,6.25201158,-75.58276104
CR 95,79-05,,6.29133596,-75.59444323
CR 31,102C-68 (0122),,6.29289572,-75.54125779
CR 43,107-24,,6.29504295,-75.54889575
CR 34,85D-57,,6.27822674,-75.54595381
CR 36,85D-60,,6.2782342,-75.54606502
CR 42C,107-57,,6.29505583,-75.54865242
CL 35D,107-47,,6.24936474,-75.61963334
CL 35D,107-25,,6.2495268,-75.61941612
CL 35D,107-23,,6.24953229,-75.61940051
CL 112,67-30,,6.30731805,-75.56572919
CL 112,67-62,,6.30743606,-75.56599858
CL 112,67-94,,6.30754713,-75.5662521
CL 112,67-98,,6.30755689,-75.56627439
CR 31,96B-08,,6.28737085,-75.54272345
CL 96B,30-18,,6.28739079,-75.54253892
CR 67,112-35,,6.30749754,-75.56533772
CR 67,112-17,,6.30736191,-75.56539707
CR 37,109-31 (0105),,6.29763756,-75.54585252
CR 37,109-31 (0206),,6.2976114,-75.5457577
CR 37,109-31 (0103),,6.29762409,-75.54578842
CR 37,109-31 (0101),,6.29759144,-75.5457119
CR 37,109-03,,6.29730096,-75.54571075
CL 33B,98-40,,6.24362345,-75.6215262
CL 35D,107-37,,6.24944079,-75.61953287
CL 35D,107-35 (0201),,6.2494217,-75.61949365
CR 102,33B-24,,6.24394104,-75.62159114
CL 34,98-09,,6.24390165,-75.62093079
CL 35CC,107-42,,6.24923421,-75.61944779
CL 35CC,107-46,,6.2492337,-75.61947049
CL 33B,98-42,,6.24364903,-75.62155998
CL 35D,107-31,,6.2495141,-75.61945246
CL 35D,107-35 (0301),,6.24943511,-75.619494
CR 43AA,107B-40,,6.29609774,-75.54950979
CR 50B,101-03,,6.29353221,-75.55827429
CR 43,107E-15,,6.29684902,-75.54864844
CR 50B,101-07,,6.29355898,-75.55826295
CR 50B,101-21,,6.29364538,-75.55822632
CL 102,50B-07,,6.2937272,-75.55824953
CR 50B,101-25,,6.2936707,-75.55821558
CR 43AA,107B-20,,6.2959327,-75.54954857
CR 42C,107-69,,6.29513694,-75.54863635
CR 102B,48D-65 (0140),,6.26166708,-75.61787414
CR 43AA,107B-44,,6.29610926,-75.54950642
CR 42D,107C-14,,6.29618984,-75.54849952
CR 46,108-58 (0120),,6.29817551,-75.54991029
CR 86,29B-09 LOTE,,6.23070785,-75.60923823
CR 29,106BA-02 (0110),,6.29372842,-75.541014
CL 107D,29-04,,6.29735238,-75.5406521
CR 42C,107-55,,6.2950384,-75.54865357
CR 42C,106-17,,6.29470405,-75.54878242
CR 87,29A-07 LOTE,,6.23057175,-75.6096831
CR 86,30-11 LOTE,,6.23097356,-75.60926201
CL 35CC,107-50,,6.24923224,-75.61950057
CL 35CC,107-52,,6.24923101,-75.61952245
CR 86,29B-15 LOTE,,6.23062799,-75.60923096
