codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-13751693104	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-59	46-59	Origen: OpenStreetMap	6.0930563	-75.6337286
OSM-13751693105	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-69	46-69	Origen: OpenStreetMap	6.0930476	-75.6338626
OSM-13751693106	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-73	46-73	Origen: OpenStreetMap	6.0930412	-75.6339685
OSM-13751693107	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-113	46-113	Origen: OpenStreetMap	6.0930278	-75.6342658
OSM-13751693108	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 47-32	47-32	Origen: OpenStreetMap	6.0923753	-75.6342225
OSM-13751693109	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-10	129 Sur-10	Origen: OpenStreetMap	6.0921845	-75.6343535
OSM-13751693110	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-20	129 Sur-20	Origen: OpenStreetMap	6.0920777	-75.6343544
OSM-13751733715	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-36	133 Sur-36	Origen: OpenStreetMap	6.0884761	-75.6342933
OSM-13751733716	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-20	133 Sur-20	Origen: OpenStreetMap	6.0887874	-75.6343143
OSM-13751733717	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-42	133 Sur-42	Origen: OpenStreetMap	6.0885913	-75.6342991
OSM-13754061440	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 128 Sur-10	128 Sur-10	Origen: OpenStreetMap	6.0929713	-75.6343776
OSM-13754073286	ANTIOQUIA	Caldas		Calle	Calle 133 Sur # 46-37	46-37	Origen: OpenStreetMap	6.0889181	-75.6338979
OSM-13754095106	ANTIOQUIA	Caldas		Calle	Calle 132A Sur # 47-20	47-20	Origen: OpenStreetMap	6.0894486	-75.6342022
OSM-13754095107	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-111	46-111	Origen: OpenStreetMap	6.0930287	-75.6342161
OSM-13754095108	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-148	131 Sur-148	Origen: OpenStreetMap	6.0894438	-75.6343535
OSM-13754095109	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-110	131 Sur-110	Origen: OpenStreetMap	6.0897144	-75.6343642
OSM-13754095110	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-78	130 Sur-78	Origen: OpenStreetMap	6.0908286	-75.6343829
OSM-13754095111	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-70	130 Sur-70	Origen: OpenStreetMap	6.0909009	-75.634384
OSM-13754095112	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-74	130 Sur-74	Origen: OpenStreetMap	6.0908652	-75.6343835
OSM-13754157919	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-58	133 Sur-58	Origen: OpenStreetMap	6.0884391	-75.6342874
OSM-13754157920	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-86	133 Sur-86	Origen: OpenStreetMap	6.0882256	-75.6342687
OSM-13754157921	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-8	46-8	Origen: OpenStreetMap	6.0882672	-75.633514
OSM-13754157922	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-16	46-16	Origen: OpenStreetMap	6.0882615	-75.6335809
OSM-13754157923	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-46	46-46	Origen: OpenStreetMap	6.088261	-75.6336468
OSM-13754157924	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-68	46-68	Origen: OpenStreetMap	6.0882517	-75.6337546
OSM-13754157925	ANTIOQUIA	Caldas		Calle	Calle 134 Sur # 46-72	46-72	Origen: OpenStreetMap	6.0882482	-75.6338205
OSM-13754157926	ANTIOQUIA	Caldas		Carrera	Carrera 47 # 133 Sur-78	133 Sur-78	Origen: OpenStreetMap	6.0882655	-75.6338896
OSM-13757840149	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 135A Sur-81	135A Sur-81	Origen: OpenStreetMap	6.0863219	-75.6351504
OSM-13757840150	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-32	49-32	Origen: OpenStreetMap	6.0862449	-75.6353214
OSM-13757840151	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-58	49-58	Origen: OpenStreetMap	6.0862399	-75.6355812
OSM-13757840152	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-62	49-62	Origen: OpenStreetMap	6.0862384	-75.6356202
OSM-13757840153	ANTIOQUIA	Caldas		Calle	Calle 136 Sur # 49-64	49-64	Origen: OpenStreetMap	6.0862379	-75.6356562
OSM-13757840156	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 135A Sur-44	135A Sur-44	Origen: OpenStreetMap	6.0864263	-75.6356942
OSM-13760161922	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-9	132 Sur-9	Origen: OpenStreetMap	6.0894772	-75.634474
OSM-13760161923	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-19	132 Sur-19	Origen: OpenStreetMap	6.0894105	-75.6344692
OSM-13760161924	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-37	132 Sur-37	Origen: OpenStreetMap	6.0892559	-75.6344629
OSM-13760161925	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-39	132 Sur-39	Origen: OpenStreetMap	6.0892351	-75.6344619
OSM-13760161926	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132 Sur-55	132 Sur-55	Origen: OpenStreetMap	6.0891017	-75.6344595
OSM-13760161928	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-42	131 Sur-42	Origen: OpenStreetMap	6.0902738	-75.634404
OSM-13760161929	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-65	133 Sur-65	Origen: OpenStreetMap	6.0883467	-75.634404
OSM-13760161930	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-14	133 Sur-14	Origen: OpenStreetMap	6.0888267	-75.6343185
OSM-13760161931	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 133 Sur-50	133 Sur-50	Origen: OpenStreetMap	6.0885207	-75.6342976
OSM-13761199811	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-9	129 Sur-9	Origen: OpenStreetMap	6.0922207	-75.6344876
OSM-13761199812	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-19	129 Sur-19	Origen: OpenStreetMap	6.0921255	-75.6344847
OSM-13761199813	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-23	129 Sur-23	Origen: OpenStreetMap	6.0920762	-75.6344823
OSM-13761199814	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-37	129 Sur-37	Origen: OpenStreetMap	6.0919834	-75.634474
OSM-13761199815	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-43	129 Sur-43	Origen: OpenStreetMap	6.0919191	-75.6344765
OSM-13761199817	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-81	129 Sur-81	Origen: OpenStreetMap	6.0915812	-75.6344959
OSM-13765550743	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 135 Sur-10	135 Sur-10	Origen: OpenStreetMap	6.0872508	-75.6341459
OSM-13765550744	ANTIOQUIA	Caldas		Calle	Calle 135A Sur # 47-38	47-38	Origen: OpenStreetMap	6.0871621	-75.6339501
OSM-13765557455	ANTIOQUIA	Caldas		Calle	Calle 135B Sur # 47-33	47-33	Origen: OpenStreetMap	6.0866846	-75.6338688
OSM-13765557456	ANTIOQUIA	Caldas		Carrera	Carrera 47 # 135B Sur-23	135B Sur-23	Origen: OpenStreetMap	6.0865664	-75.6335769
OSM-13768991991	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 135A Sur-53	135A Sur-53	Origen: OpenStreetMap	6.0862613	-75.6358699
OSM-13773128686	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 128 Sur-59	128 Sur-59	Origen: OpenStreetMap	6.0925536	-75.6344748
OSM-13773128687	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 48-2	48-2	Origen: OpenStreetMap	6.0923653	-75.6344763
OSM-13773128688	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-43	129 Sur-43	Origen: OpenStreetMap	6.0922457	-75.6343552
OSM-13793034688	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-104	46-104	Origen: OpenStreetMap	6.0931554	-75.6342095
OSM-13793034689	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-14	46-14	Origen: OpenStreetMap	6.093186	-75.6333047
OSM-13793034690	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-112	46-112	Origen: OpenStreetMap	6.0931561	-75.6342529
OSM-13797207972	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 48-12	48-12	Origen: OpenStreetMap	6.0931371	-75.6346072
OSM-13797304835	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 48A-6	48A-6	Origen: OpenStreetMap	6.093121	-75.6349663
